symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund,ticker
AFTFX,12.1,0.95,0,23395264501,0.35942,11.86-12.66,0.0,"American Fds, The Tax-Exempt  Bond Fund of America, Class F-1 Shs",USD,0000050142,,,NASDAQ,NASDAQ,Asset Management - Bonds,,"The fund will invest at least 80% of its assets in, or derive at least 80% of its income from, securities that are exempt from regular federal income tax. It will not invest in securities that subject the investors to federal alternative minimum tax. It invests at least 65% in debt securities rated A- or better or A3 or better by Nationally Recognized Statistical Rating Organizations designated by the fund's investment adviser, or unrated but determined by the fund's investment adviser to be of equivalent quality.",,Financial Services,US,,(213) 486-9200,"The Tax-Exempt Bond Fund of America, Inc.",,DE,,,0.0,https://images.financialmodelingprep.com/symbol/AFTFX.png,2001-03-15,True,False,True,False,True,AFTFX
EXPD,115.11,1.068,1474684,15764084280,1.5,100.47-131.59,0.85,"Expeditors International of Washington, Inc.",USD,0000746515,US3021301094,302130109,New York Stock Exchange,NYSE,Integrated Freight & Logistics,https://www.expeditors.com,"Expeditors International of Washington, Inc. provides logistics services in the Americas, North Asia, South Asia, Europe, the Middle East, Africa, and India. The company offers airfreight services, such as air freight consolidation and forwarding; ocean freight and ocean services, including ocean freight consolidation, direct ocean forwarding, and order management; customs brokerage, intra-continental ground transportation and delivery, and warehousing and distribution services; and customs clearance, purchase order management, vendor consolidation, time-definite transportation services, temperature-controlled transit, cargo insurance, specialized cargo monitoring and tracking, and other supply chain solutions. It also provides optimization, trade compliance, consulting, cargo security, and solutions. In addition, it acts as a freight consolidator or as an agent for the airline, which carries the shipment. Further, the company provides ancillary services that include preparation of shipping and customs documentation, packing, crating, insurance services, negotiation of letters of credit, and the preparation of documentation to comply with local export laws. Its customers include retailing and wholesaling, electronics, technology, and industrial and manufacturing companies. Expeditors International of Washington, Inc. was incorporated in 1979 and is headquartered in Seattle, Washington.",Mr. Daniel R. Wall,Industrials,US,19203,206 674 3400,1015 Third Avenue,Seattle,WA,98104,-20.93248,136.04247672743597,https://images.financialmodelingprep.com/symbol/EXPD.png,1984-09-26,False,False,True,False,False,EXPD
VASIX,15.44,0.64,0,3892289024,0.5653,14.76-15.97,0.020001,Vanguard LifeStrategy Income Fund Investor Shares,USD,0000736054,US9219092064,921909206,NASDAQ,NASDAQ,Asset Management - Income,,"The investment seeks current income and some capital appreciation.  The fund invests in other Vanguard mutual funds according to a fixed formula that reflects an allocation of approximately 80% of the fund&#39;s assets to bonds and 20% to common stocks. Its indirect bond holdings are a diversified mix of short-, intermediate-, and long-term U.S. government, U.S. agency, and investment-grade U.S. corporate bonds; mortgage-backed and asset-backed securities; and government, agency, corporate, and securitized investment-grade foreign bonds issued in currencies other than the U.S. dollar (but hedged by Vanguard to minimize foreign currency exposure).",,Financial Services,US,,800-662-7447,Vanguard Star Funds,,DE,,,0.0,https://images.financialmodelingprep.com/symbol/VASIX.png,1994-10-03,True,False,True,False,True,VASIX
GATX,153.3,1.202,203963,5472810000,2.38,127.7-168.89,0.09,GATX Corporation,USD,0000040211,US3614481030,361448103,New York Stock Exchange,NYSE,Rental & Leasing Services,https://www.gatx.com,"GATX Corporation operates as railcar leasing company in the United States and internationally. The company operates through three segments: Rail North America, Rail International, and Portfolio Management. It leases tank and freight railcars, and locomotives for petroleum, chemical, food/agriculture, and transportation industries. The company also offers services, including the interior cleaning of railcars, routine maintenance and repair of car body and safety appliances, regulatory compliance works, wheelset replacements, interior blast and lining operations, exterior blast and painting, and car stenciling. In addition, it leases aircraft spare engines, directly-owned aircraft spare engines, and five liquefied gas-carrying vessels, as well as manages portfolios of assets for third parties. The company owns a fleet of approximately 147,000 railcars; 539 four-axle and 29 six-axle locomotives; and 5 vessels. GATX Corporation was founded in 1898 and is headquartered in Chicago, Illinois.",Mr. Robert C. Lyons C.F.A.,Industrials,US,2150,312 621 6200,233 South Wacker Drive,Chicago,IL,60606-7147,6.90389,120.674,https://images.financialmodelingprep.com/symbol/GATX.png,1920-07-01,False,False,True,False,False,GATX
VOHIX,11.27,1.24,0,1324660123,0.40068,11-11.93,0.01,Vanguard Ohio Long-Term Tax-Exempt Fund,USD,0000862341,US9219292045,921929204,NASDAQ,NASDAQ,Asset Management,www.vanguard.com,"The fund invests primarily in high-quality municipal bonds issued by Ohio state and local governments, as well as by regional governmental and public financing authorities. Under normal circumstances, at least 80% of its assets will be invested in securities whose income is exempt from federal and Ohio state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund is non-diversified.",,Financial Services,US,,800-662-7447,Vanguard Ohio Tax-Free Funds,,DE,,,0.0,https://images.financialmodelingprep.com/symbol/VOHIX.png,1990-06-18,True,False,True,False,True,VOHIX
IRWD,0.6669,0.233,3439128,107917758,0.0,0.53-7.11,0.0469,"Ironwood Pharmaceuticals, Inc.",USD,0001446847,US46333X1081,46333X108,NASDAQ Global Select,NASDAQ,Drug Manufacturers - Specialty & Generic,https://www.ironwoodpharma.com,"Ironwood Pharmaceuticals, Inc., a healthcare company, focuses on the development and commercialization of gastrointestinal (GI) products. It markets linaclotide, a guanylate cyclase type-C agonist for the treatment of adults suffering from irritable bowel syndrome with constipation (IBS-C) or chronic idiopathic constipation (CIC) under the LINZESS name in the United States and Mexico, as well as under the CONSTELLA name in the Canada and European Union. The company is also developing IW-3300, a GC-C agonist for the treatment of visceral pain conditions, including interstitial cystitis/bladder pain syndrome and endometriosis; and CNP-104, an immune nanoparticle for the treatment of biliary cholangitis. The company has strategic partnerships with AbbVie Inc., AstraZeneca AB, and Astellas Pharma Inc. for the development and commercialization of linaclotide. The company was formerly known as Microbia, Inc. and changed its name to Ironwood Pharmaceuticals, Inc. in April 2008. Ironwood Pharmaceuticals, Inc. was incorporated in 1998 and is headquartered in Boston, Massachusetts.",Mr. Thomas A. McCourt,Healthcare,US,253,617 621 7722,100 Summer Street,Boston,MA,02110,-13.34384,20.343841585424602,https://images.financialmodelingprep.com/symbol/IRWD.png,2010-02-03,False,False,True,False,False,IRWD
RWL,102.36,0.93,229014,5511531721,1.44167,86.97-104.39,0.63,Invesco S&P 500 Revenue ETF,USD,0001384032,US46138G6989,46138G698,New York Stock Exchange Arca,AMEX,Asset Management,,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index includes positive revenue-producing constituent securities of the S&P 500® Index.,,Financial Services,US,,NA,,,DE,,,0.0,https://images.financialmodelingprep.com/symbol/RWL.png,2008-03-07,False,True,True,False,False,RWL
FDSSX,80.51,1.02,0,6856736237,0.68,65.85-87.16,0.88,Fidelity Stock Selector All Cap Fund,USD,0000275309,US3160663072,316066307,NASDAQ,NASDAQ,Asset Management,www.institutional.fidelity.com,"The fund normally invests at least 80% of assets in stocks, primarily in common stocks. It invests the fund's assets in one or more Fidelity® central funds (central funds), which provide exposure to different sectors of the U.S. stock market (at present, these sectors include communication services, consumer discretionary, consumer staples, energy, financials, health care, industrials, information technology, materials, real estate, and utilities). The fund invests in the sector central funds of domestic and foreign issuers, and in growth and/or value stocks.",,Financial Services,US,,416-307-5200,Fidelity Capital Trust,,MA,,,0.0,https://images.financialmodelingprep.com/symbol/FDSSX.png,1990-09-28,True,False,True,False,True,FDSSX
PSNL,6.45,1.866,761726,569696895,0.0,1.135-7.2,0.44,"Personalis, Inc.",USD,0001527753,US71535D1063,71535D106,NASDAQ Global Market,NASDAQ,Medical - Diagnostics & Research,https://www.personalis.com,"Personalis, Inc. operates as a cancer genomics company worldwide. The company provides sequencing and data analysis services to support the development of cancer therapies and large-scale genetic research programs. It offers NeXT Platform, which provides data analysis for tumor and its immune microenvironment, from a single limited tissue or plasma sample; ImmunoID Next for tumor profiling from tissue; NeXT Liquid Biopsy for tumor profiling from plasma; NeXT Personal, a liquid biopsy offering for personalized tumor tracking for patients; NeXT Dx Test, a genomic cancer profiling test enabling composite biomarkers for cancer treatment; and NeXT SHERPA and NeXT NEOPS for neoantigen prediction capabilities. The company also provides ACE platform for clinical and therapeutic applications such as neoantigen prediction, biomarker identification, and novel drug target selection. It serves biopharmaceutical customers, universities, non-profits, and government entities. The company has partnership with Mayo Clinic; MapKure, LLC; SpringWorks Therapeutics, Inc.; and Moores Cancer Center. Personalis, Inc. was incorporated in 2011 and is headquartered in Menlo Park, California.",Mr. Christopher M. Hall,Healthcare,US,228,650 752 1300,1330 O’Brien Drive,Fremont,CA,94025,2.99157,5.37157,https://images.financialmodelingprep.com/symbol/PSNL.png,2019-06-20,False,False,True,False,False,PSNL
OGE,43.87,0.596,1194131,8832347100,1.68195,34.92-46.91,-0.44,OGE Energy Corp.,USD,0001021635,US6708371033,670837103,New York Stock Exchange,NYSE,Regulated Electric,https://www.ogeenergy.com,"OGE Energy Corp., together with its subsidiaries, operates as an energy and energy services provider that offers physical delivery and related services for electricity, natural gas, crude oil, and natural gas liquids in the United States. The company generates, transmits, distributes, and sells electric energy. It provides retail electric service to approximately 879,000 customers, which covers a service area of approximately 30,000 square miles in Oklahoma and western Arkansas; and owns and operates coal-fired, natural gas-fired, wind-powered, and solar-powered generating assets. As of December 31, 2021, the company owned and operated interconnected electric generation, transmission, and distribution systems, including 16 generating stations with an aggregate capability of 7,207 megawatts; and transmission systems comprising 54 substations and 5,122 structure miles of lines in Oklahoma, and 7 substations and 277 structure miles of lines in Arkansas. Its distribution systems included 350 substations; 29,494 structure miles of overhead lines; 3,365 miles of underground conduit; and 11,125 miles of underground conductors in Oklahoma, as well as 29 substations, 2,795 structure miles of overhead lines, 349 miles of underground conduit, and 662 miles of underground conductors in Arkansas. The company was founded in 1902 and is based in Oklahoma City, Oklahoma.",Mr. Robert Sean Trauschke,Utilities,US,2291,405 553 3000,321 North Harvey,Oklahoma City,OK,73101-0321,75.70817,-30.84816646223728,https://images.financialmodelingprep.com/symbol/OGE.png,1950-09-27,False,False,True,False,False,OGE
